category,amount,percentage
"Employee compensation, taxes and benefits ","$830,712",61.90%
Contractor payments,"$308,887",23.00%
"Office related expenses, equipment and software","$81,439",6.10%
Rent,"$47,",3.50%
Legal and professional fees,"$28,228",2.10%
Travel and meeting expenses,"$23,876",1.80%
Insurance,"$6,089",0.50%
Award fees,"$5,171",0.40%
Advertising and marketing,"$4,184",0.30%
Payroll service fees,"$3,671",0.30%
Other,"$3,149",0.20%
